Date,Stock,Open,High,Low,Close
2020-08-11,MSFT,207.16,207.65,203.14,203.38
2020-08-12,MSFT,205.29,210.28,204.75,209.19
2020-08-13,MSFT,209.44,211.35,208.15,208.7
2020-08-14,MSFT,208.76,209.59,207.51,208.9
2020-08-15,MSFT,209.1,210.47,207.82999999999998,208.8
2020-08-16,MSFT,210.065,211.775,209.065,210.885
2020-08-17,MSFT,209.6,211.19,208.92,210.28
2020-08-18,MSFT,210.53,212.36,209.21,211.49
2020-08-19,MSFT,211.49,212.1,209.25,209.7
2020-08-20,MSFT,209.54,215.0,208.91,214.58
2020-08-21,MSFT,213.86,216.25,212.85,213.02
2020-08-22,MSFT,211.7,215.625,210.88,213.8
2020-08-23,MSFT,213.945,216.065,212.765,213.69
2020-08-24,MSFT,214.79,215.52,212.43,213.69
2020-08-25,MSFT,213.1,216.61,213.1,213.69
2020-08-26,MSFT,217.88,222.09,217.36,221.15
2020-08-27,MSFT,222.89,231.15,219.4,226.58
2020-08-28,MSFT,228.18,230.64,226.58,228.91
2020-08-29,MSFT,225.535,230.89499999999998,222.99,227.745
2020-08-30,MSFT,226.255,228.075,224.37,226.4
2020-08-31,MSFT,227.0,228.7,224.31,225.53
2020-09-01,MSFT,225.51,227.45,224.43,227.27
2020-09-02,MSFT,227.97,232.86,227.35,231.65
2020-09-03,MSFT,226.74,230.155,225.89,229.46
2020-09-04,MSFT,215.1,218.36,205.19,214.25
2020-09-05,MSFT,215.1,218.36,205.19,214.25
2020-09-06,MSFT,215.1,218.36,205.19,214.25
2020-09-07,MSFT,207.05,212.435,204.45,206.975
2020-09-08,MSFT,206.5,210.03,202.2,202.66
2020-09-09,MSFT,207.6,214.84,206.7,211.29
2020-09-10,MSFT,213.4,214.74,204.11,205.37
2020-09-11,MSFT,207.2,208.63,201.24,204.03
2020-09-12,MSFT,210.3,211.685,202.675,204.7
2020-09-13,MSFT,206.32999999999998,209.49,205.48000000000002,207.095
2020-09-14,MSFT,204.24,209.2,204.03,205.41
2020-09-15,MSFT,208.42,209.78,206.93,208.78
2020-09-16,MSFT,210.62,210.65,204.64,205.05
2020-09-17,MSFT,200.05,204.33,199.96,202.91
2020-09-18,MSFT,202.8,203.65,196.25,200.39
2020-09-19,MSFT,201.425,203.99,198.10500000000002,201.64999999999998
2020-09-20,MSFT,201.125,205.405,199.23000000000002,204.98
2020-09-21,MSFT,197.19,202.71,196.38,202.54
2020-09-22,MSFT,205.06,208.1,202.08,207.42
2020-09-23,MSFT,207.9,208.1,200.03,200.59
2020-09-24,MSFT,199.85,205.57,199.2,203.19
2020-09-25,MSFT,203.55,209.04,202.54,207.82
2020-09-26,MSFT,201.7,207.305,200.87,205.505
2020-09-27,MSFT,210.115,211.32,207.435,208.35
2020-09-28,MSFT,210.88,212.57,208.06,209.44
2020-09-29,MSFT,209.35,210.07,206.81,207.26
2020-09-30,MSFT,207.73,211.98,206.54,210.33
2020-10-01,MSFT,213.49,213.99,211.32,212.46
2020-10-02,MSFT,208.0,210.99,205.54,206.19
2020-10-03,MSFT,210.745,212.49,208.43,209.325
2020-10-04,MSFT,208.01999999999998,210.29500000000002,205.89999999999998,208.14499999999998
2020-10-05,MSFT,207.22,210.41,206.98,210.38
2020-10-06,MSFT,208.82,210.18,204.82,205.91
2020-10-07,MSFT,207.06,210.11,206.72,209.83
2020-10-08,MSFT,210.51,211.19,208.32,210.58
2020-10-09,MSFT,208.785,210.65,207.51999999999998,210.205
2020-10-10,MSFT,208.785,210.65,207.51999999999998,210.205
2020-10-11,MSFT,220.755,224.53500000000003,218.62,222.13
2020-10-12,MSFT,218.79,223.86,216.81,221.4
2020-10-13,MSFT,222.72,225.21,220.43,222.86
2020-10-14,MSFT,223.0,224.22,219.13,220.86
2020-10-15,MSFT,217.1,220.36,216.01,219.66
2020-10-16,MSFT,220.15,222.29,219.32,219.66
2020-10-17,MSFT,218.625,221.325,217.665,219.66
2020-10-18,MSFT,218.11,219.835,213.405,214.435
2020-10-19,MSFT,220.42,222.3,213.72,214.22
2020-10-20,MSFT,215.8,217.37,213.09,214.65
2020-10-21,MSFT,213.12,216.92,213.12,214.8
2020-10-22,MSFT,213.93,216.06,211.7,214.89
2020-10-23,MSFT,215.03,216.28,213.16,216.23
2020-10-24,MSFT,214.48000000000002,216.17000000000002,212.43,215.56
2020-10-25,MSFT,212.72,215.505,209.215,211.66500000000002
2020-10-26,MSFT,213.85,216.34,208.1,210.08
2020-10-27,MSFT,211.59,214.67,210.33,213.25
2020-10-28,MSFT,207.67,208.84,202.1,202.68
2020-10-29,MSFT,204.07,207.36,203.37,204.72
2020-10-30,MSFT,203.5,204.29,199.62,202.47
2020-10-31,MSFT,203.785,205.825,201.495,203.595
2020-11-01,MSFT,204.08999999999997,206.7,201.62,204.38
2020-11-02,MSFT,204.29,205.28,200.12,202.33
2020-11-03,MSFT,203.89,208.12,203.12,206.43
2020-11-04,MSFT,214.02,218.32,212.42,216.39
2020-11-05,MSFT,222.04,224.12,221.15,223.29
2020-11-06,MSFT,222.26,224.36,218.03,223.72
2020-11-07,MSFT,222.14999999999998,224.24,219.59,223.505
2020-11-08,MSFT,219.47,222.31,213.8,214.7
2020-11-09,MSFT,224.44,228.12,217.88,218.39
2020-11-10,MSFT,214.5,216.5,209.72,211.01
2020-11-11,MSFT,212.39,218.04,212.2,216.55
2020-11-12,MSFT,217.21,219.11,214.46,215.44
2020-11-13,MSFT,216.36,217.42,214.16,216.51
2020-11-14,MSFT,216.78500000000003,218.265,214.31,215.975
2020-11-15,MSFT,215.485,217.71,214.3,215.845
2020-11-16,MSFT,214.87,217.74,214.52,217.23
2020-11-17,MSFT,216.1,217.68,214.08,214.46
2020-11-18,MSFT,213.65,215.17,210.93,211.08
2020-11-19,MSFT,211.38,213.03,209.93,212.42
2020-11-20,MSFT,212.2,213.29,210.0,210.39
2020-11-21,MSFT,211.79,213.16,209.965,211.40499999999997
2020-11-22,MSFT,210.26999999999998,213.26999999999998,208.51,211.985
2020-11-23,MSFT,210.95,212.29,208.16,210.11
2020-11-24,MSFT,209.59,214.25,208.86,213.86
2020-11-25,MSFT,215.11,215.29,212.46,213.87
2020-11-26,MSFT,212.35000000000002,214.76999999999998,210.66000000000003,213.865
2020-11-27,MSFT,214.85,216.27,214.04,215.23
2020-11-28,MSFT,214.85,216.27,214.04,215.23
2020-11-29,MSFT,214.305,216.04,212.095,215.14
2020-11-30,MSFT,214.1,214.76,210.84,214.07
2020-12-01,MSFT,214.51,217.32,213.35,216.21
2020-12-02,MSFT,214.88,215.47,212.8,215.37
2020-12-03,MSFT,214.61,216.38,213.65,214.24
2020-12-04,MSFT,214.22,215.38,213.18,214.36
2020-12-05,MSFT,214.41500000000002,215.88,213.41500000000002,214.3
2020-12-06,MSFT,214.17000000000002,216.245,212.94,215.14999999999998
2020-12-07,MSFT,214.37,215.54,212.99,214.29
2020-12-08,MSFT,213.97,216.95,212.89,216.01
2020-12-09,MSFT,215.16,215.23,211.21,211.8
2020-12-10,MSFT,211.77,213.08,210.36,210.52
2020-12-11,MSFT,210.05,213.32,209.11,213.26
2020-12-12,MSFT,210.91000000000003,213.2,209.735,211.89
2020-12-13,MSFT,214.135,215.815,212.56,214.165
2020-12-14,MSFT,213.1,216.21,212.88,214.2
2020-12-15,MSFT,215.17,215.42,212.24,214.13
2020-12-16,MSFT,214.75,220.11,214.72,219.28
2020-12-17,MSFT,219.87,220.89,217.92,219.42
2020-12-18,MSFT,218.59,219.69,216.02,218.59
2020-12-19,MSFT,219.23000000000002,220.29,216.97,219.005
2020-12-20,MSFT,220.12,224.815,219.565,223.265
2020-12-21,MSFT,217.55,224.0,217.28,222.59
2020-12-22,MSFT,222.69,225.63,221.85,223.94
2020-12-23,MSFT,223.11,223.56,220.8,221.02
2020-12-24,MSFT,221.42,223.61,221.2,222.48000000000002
2020-12-25,MSFT,222.265,223.585,221.0,222.48000000000002
2020-12-26,MSFT,222.265,223.585,221.0,224.555
2020-12-27,MSFT,225.38,226.60500000000002,223.3,224.555
2020-12-28,MSFT,224.45,226.03,223.02,224.96
2020-12-29,MSFT,226.31,227.18,223.58,224.15
2020-12-30,MSFT,225.23,225.63,221.47,221.68
2020-12-31,MSFT,221.7,223.0,219.68,222.42
2021-01-01,MSFT,223.46499999999997,224.315,220.575,222.05
2021-01-02,MSFT,223.46499999999997,224.315,220.575,222.05
2021-01-03,MSFT,219.89499999999998,220.76,215.255,217.79500000000002
2021-01-04,MSFT,222.53,223.0,214.81,217.69
2021-01-05,MSFT,217.26,218.52,215.7,217.9
2021-01-06,MSFT,212.17,216.49,211.94,212.25
2021-01-07,MSFT,214.04,219.34,213.71,218.29
2021-01-08,MSFT,218.68,220.58,217.03,219.62
2021-01-09,MSFT,216.36,219.96,215.37,218.95499999999998
2021-01-10,MSFT,217.485,218.005,215.02499999999998,216.21
2021-01-11,MSFT,218.47,218.91,216.73,217.49
2021-01-12,MSFT,216.5,217.1,213.32,214.93
2021-01-13,MSFT,214.02,216.76,213.93,216.34
2021-01-14,MSFT,215.91,217.46,212.74,213.02
2021-01-15,MSFT,213.52,214.51,212.03,212.65
2021-01-16,MSFT,214.715,215.985,212.385,212.835
2021-01-17,MSFT,214.715,215.985,212.385,212.835
2021-01-18,MSFT,215.725,221.385,214.95999999999998,220.39
2021-01-19,MSFT,213.75,216.98,212.63,216.44
2021-01-20,MSFT,217.7,225.79,217.29,224.34
2021-01-21,MSFT,224.7,226.3,222.42,224.97
2021-01-22,MSFT,227.08,230.07,225.8,225.95
2021-01-23,MSFT,225.89,228.185,224.11,225.45999999999998
2021-01-24,MSFT,230.49,231.98000000000002,227.15,230.93
2021-01-25,MSFT,229.12,229.78,224.22,229.53
2021-01-26,MSFT,231.86,234.18,230.08,232.33
2021-01-27,MSFT,238.0,240.44,230.14,232.9
2021-01-28,MSFT,235.61,242.64,235.09,238.93
2021-01-29,MSFT,235.99,238.02,231.35,231.96
2021-01-30,MSFT,235.8,240.32999999999998,233.22,235.445
2021-01-31,MSFT,238.18,242.405,235.56,239.57999999999998
2021-02-01,MSFT,235.06,242.5,232.43,239.65
2021-02-02,MSFT,241.3,242.31,238.69,239.51
2021-02-03,MSFT,239.57,245.09,239.26,243.0
2021-02-04,MSFT,242.66,243.24,240.37,242.01
2021-02-05,MSFT,242.23,243.28,240.42,242.2
2021-02-06,MSFT,242.445,243.26,240.39499999999998,242.105
2021-02-07,MSFT,242.51,244.22,241.095,243.12
2021-02-08,MSFT,243.15,243.68,240.81,242.47
2021-02-09,MSFT,241.87,244.76,241.38,243.77
2021-02-10,MSFT,245.0,245.92,240.89,242.82
2021-02-11,MSFT,244.78,245.15,242.15,244.49
2021-02-12,MSFT,243.93,245.3,242.73,244.99
2021-02-13,MSFT,244.35500000000002,245.22500000000002,242.44,244.74
2021-02-14,MSFT,244.35500000000002,245.22500000000002,242.44,244.74
2021-02-15,MSFT,243.175,245.22,241.93,243.95
2021-02-16,MSFT,245.03,246.13,242.92,243.7
2021-02-17,MSFT,241.32,244.31,240.94,244.2
2021-02-18,MSFT,241.8,243.93,240.86,243.79
2021-02-19,MSFT,243.75,243.86,240.18,240.97
2021-02-20,MSFT,242.775,243.895,240.52,242.38
2021-02-21,MSFT,233.875,236.38,230.565,233.89
2021-02-22,MSFT,237.42,237.93,232.4,234.51
2021-02-23,MSFT,230.33,234.83,228.73,233.27
2021-02-24,MSFT,230.01,235.2,229.0,234.55
2021-02-25,MSFT,232.08,234.59,227.88,228.99
2021-02-26,MSFT,231.53,235.37,229.54,232.38
